# SPDX-FileCopyrightText: 2026 Tom Haynes <loghyr@gmail.com>
# SPDX-License-Identifier: AGPL-3.0-or-later
round,layout,codec,k,m,size_mb,delay_ms,a_rc,b_rc,a_stripes_ok,a_first_fail_stripe,b_stripes_ok,final_winner,mixed_diff_a,mixed_diff_b
1,v1,rs,4,2,100,500,0,1,38400,NA,394,MIXED,1077139,103371038
2,v1,rs,4,2,100,500,0,1,38400,NA,1627,MIXED,4427048,100021070
3,v1,rs,4,2,100,500,0,1,38400,NA,239,MIXED,652847,103793323
4,v1,rs,4,2,100,500,0,1,38400,NA,696,MIXED,1893127,102553986
5,v1,rs,4,2,100,500,0,1,38400,NA,68,MIXED,187682,104260594
6,v1,rs,4,2,100,500,1,0,533,88,38400,B,NA,NA
7,v1,rs,4,2,100,500,0,1,38400,NA,348,MIXED,946567,103501502
8,v1,rs,4,2,100,500,1,0,626,104,38400,B,NA,NA
9,v1,rs,4,2,100,500,1,0,580,96,38400,B,NA,NA
10,v1,rs,4,2,100,500,1,0,1012,168,38400,B,NA,NA
11,v1,rs,4,2,100,500,0,1,38400,NA,541,MIXED,1472897,102974554
12,v1,rs,4,2,100,500,0,1,38400,NA,452,MIXED,1232085,103214909
13,v1,rs,4,2,100,500,0,1,38400,NA,736,MIXED,2007281,102439746
14,v1,rs,4,2,100,500,1,0,1333,222,38400,B,NA,NA
15,v1,rs,4,2,100,500,0,1,38400,NA,96,MIXED,261108,104187471
16,v1,rs,4,2,100,500,1,0,1221,203,38400,B,NA,NA
17,v1,rs,4,2,100,500,1,0,458,76,38400,B,NA,NA
18,v1,rs,4,2,100,500,0,1,38400,NA,328,MIXED,897647,103550232
19,v1,rs,4,2,100,500,0,1,38400,NA,1318,MIXED,3590240,100857126
20,v1,rs,4,2,100,500,0,1,38400,NA,3222,MIXED,8764123,95682950
