# SPDX-FileCopyrightText: 2026 Tom Haynes <loghyr@gmail.com>
# SPDX-License-Identifier: AGPL-3.0-or-later
=== Phase 1/4: v1 SIMD + degraded ===
=== EC Benchmark ===
MDS: reffs-mds  GEOMETRIES=4:2 8:2  RUNS=5  DEGRADE=1  LAYOUT=v1
CPU: x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2
Sizes: 4096 16384 65536 262144 1048576

Waiting for MDS at reffs-mds:2049...
MDS ready.
--- Size: 4096 bytes ---
codec,geometry,size_bytes,run,write_ms,read_ms,verify,mode,layout,arch,cpu,kernel,simd
plain,1+0,4096,1,46,30,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
stripe,10+0,4096,1,75,47,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2
rs,4+2,4096,1,69,43,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,4+2,4096,1,70,44,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,4+2,4096,1,74,56,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
rs,4+2,4096,1,0,47,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,4+2,4096,1,0,48,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,4+2,4096,1,0,54,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
rs,8+2,4096,1,77,55,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,8+2,4096,1,82,56,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,8+2,4096,1,85,79,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
rs,8+2,4096,1,0,45,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,8+2,4096,1,0,57,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,8+2,4096,1,0,83,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
plain,1+0,4096,2,48,31,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
stripe,10+0,4096,2,81,50,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2
rs,4+2,4096,2,77,52,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,4+2,4096,2,78,50,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,4+2,4096,2,76,61,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
rs,4+2,4096,2,0,50,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,4+2,4096,2,0,46,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,4+2,4096,2,0,59,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
rs,8+2,4096,2,72,52,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,8+2,4096,2,81,60,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,8+2,4096,2,84,83,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
rs,8+2,4096,2,0,49,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,8+2,4096,2,0,57,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,8+2,4096,2,0,84,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
plain,1+0,4096,3,51,30,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
stripe,10+0,4096,3,81,55,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2
rs,4+2,4096,3,78,50,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,4+2,4096,3,78,51,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,4+2,4096,3,78,54,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
rs,4+2,4096,3,0,50,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,4+2,4096,3,0,46,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,4+2,4096,3,0,45,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
rs,8+2,4096,3,73,58,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,8+2,4096,3,83,57,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,8+2,4096,3,83,85,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
rs,8+2,4096,3,0,52,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,8+2,4096,3,0,54,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,8+2,4096,3,0,81,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
plain,1+0,4096,4,49,30,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
stripe,10+0,4096,4,82,53,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2
rs,4+2,4096,4,78,52,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,4+2,4096,4,74,52,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
